,district,price,age,newness,squaremeters
4028, Esenyurt ,1750000,4,İkinci El,130 m2
4029, Gaziosmanpaşa ,125000000,5-10,85 m2,
4030, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
4031, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
4032, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
4033, Beylikdüzü ,1699999,0 (Yeni),110 m2,Sıfır
4034, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
4035, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
4036, Beylikdüzü ,899000,4,Sıfır,100 m2
4037, Beylikdüzü ,3389000,4,130 m2,
4038, Bağcılar ,2000000,5-10,İkinci El,120 m2
4039, Beylikdüzü ,1599999,0 (Yeni),Sıfır,105 m2
4040, Beylikdüzü ,499000,0 (Yeni),Sıfır,130 m2
4041, Beylikdüzü ,1149000,0 (Yeni),Sıfır,240 m2
4042, Beylikdüzü ,950000,0 (Yeni),Sıfır,110 m2
4043, Beylikdüzü ,769000,0 (Yeni),Sıfır,105 m2
4044, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
4045, Beylikdüzü ,899000,4,Sıfır,100 m2
4046, Beylikdüzü ,2400000,11-15,İkinci El,145 m2
4047, Beylikdüzü ,2580000,0 (Yeni),140 m2,
4048, Beylikdüzü ,2450000,0 (Yeni),220 m2,
4049, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
4050, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
4051, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
4052, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
4053, Beylikdüzü ,899000,4,İkinci El,100 m2
4054, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
4055, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
4056, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
4057, Güngören ,2200000,21 Ve Üzeri,130 m2,
4058, Esenyurt ,1750000,4,İkinci El,130 m2
